GPU,Steel Nomad,MSRP,MAX GPU Clockspeed,Memory Clockspeed,SP,TMU,ROP,Memory Size (MB),Buswidth (bits),Max Bandwidth (MB/s),Memory Type,Process Size (nm),Transistors (b),"Year of
Release"
Arc B580,3075,249,2670,19000,2560,160,80,12288,192,456000,GDDR6,5,19.6,2024
Arc B570,2656,219,2500,19000,2304,144,80,10240,160,380000,GDDR6,5,19.6,2025
Arc A770,2975,349,2100,17500,4096,256,128,8192,256,560000,GDDR6,6,21.7,2022
Arc A750,2615,350,2050,16000,3584,224,96,8192,256,512000,GDDR6,6,21.7,2022
Arc A580,2224,280,1700,16000,3072,192,96,8192,256,512000,GDDR6,6,21.7,2023
Arc A380,803,150,2000,15496,1024,64,16,6144,96,185952,GDDR6,6,7.2,2022
